Longitude,Latitude
-71.47,-39.63
-71.33,-41
-71.75,-41.38
-71.3,-40.73
-71.22,-41.03
-71.55,-40.83
-71.7,-40.93
-71.65,-40.12
-71.64,-40.13
-71.15,-40.6
-8.130569,42.586455
-4.066666667,39.41666667
-4.066666667,39.41666667
-4.066666667,39.41666667
-4.066666667,39.41666667
-4.066666667,39.41666667
137.9216667,36.15611111
137.9216667,36.15611111
137.9216667,36.15611111
137.9216667,36.15611111
127.5333333,45.375
127.5333333,45.375
127.5333333,45.375
127.5333333,45.375
-58.90972222,-62.18055556
-58.90916667,-62.18555556
4.43194444,50.84888889
4.43194444,50.84888889
4.45916667,50.86111111
4.45916667,50.86111111
3.81833333,50.44888889
3.81833333,50.44888889
-121.7738889,47.42722222
-121.7738889,47.42722222
-121.7738889,47.42722222
-121.7738889,47.42722222
-72.56916667,-40.765
121.47,31.13
121.47,31.13
121.47,31.13
121.47,31.13
121.47,31.13
121.47,31.13
11.04972222,51.65444444
11.04972222,51.65444444
11.04972222,51.65444444
11.04972222,51.65444444
-71.31666667,4.5
-71.31666667,4.5
34.4,0.13333333
34.4,0.13333333
34.4,0.13333333
34.4,0.13333333
34.4,0.13333333
34.4,0.13333333
-7.35888889,42.22944444
-7.35888889,42.22944444
-7.35888889,42.22944444
-7.35888889,42.22944444
-7.23444444,42.31027778
-7.23444444,42.31027778
-7.23444444,42.31027778
-7.23444444,42.31027778
-8.56638889,42.91638889
-8.56638889,42.91638889
-8.56638889,42.91638889
-8.56638889,42.91638889
-8.56638889,42.91638889
-8.56638889,42.91638889
-8.56638889,42.91638889
-8.56638889,42.91638889
-80.43277778,27.20583333
-80.43277778,27.20583333
-80.43277778,27.20583333
-80.43277778,27.20583333
-80.43277778,27.20583333
117.4166667,5.36666667
117.4166667,5.36666667
117.4166667,5.36666667
117.4166667,5.36666667
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
101.5641667,21.45944444
7.55305556,47.49888889
7.55305556,47.49888889
7.55305556,47.49888889
7.55305556,47.49888889
7.55305556,47.49888889
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
-121.8744444,38.54305556
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
34.40527,0.129444
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-121.9016667,38.76472222
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-89.593,21.024
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-66.869,17.972
-85.594,10.718
-85.594,10.718
-85.594,10.718
-85.594,10.718
